Outcome,Model,N,R2,Adj_R2,AIC,BIC
Stunting (%),Model 1 (Baseline),74,0.423,0.398,551.9,561.2
Stunting (%),Model 2 (Gender),74,0.298,0.288,562.4,567.0
Stunting (%),Model 3 (Gender+Education),74,0.386,0.368,554.6,561.5
Stunting (%),Model 4 (Full multivariate),74,0.603,0.56,532.3,550.8
Wasting (%),Model 1 (Baseline),74,0.254,0.222,379.8,389.0
Wasting (%),Model 2 (Gender),74,0.115,0.103,388.4,393.0
Wasting (%),Model 3 (Gender+Education),74,0.173,0.15,385.4,392.3
Wasting (%),Model 4 (Full multivariate),74,0.33,0.259,379.9,398.3
Overweight (%),Model 1 (Baseline),74,0.342,0.314,392.6,401.8
Overweight (%),Model 2 (Gender),74,0.153,0.141,407.3,411.9
Overweight (%),Model 3 (Gender+Education),74,0.209,0.187,404.2,411.1
Overweight (%),Model 4 (Full multivariate),74,0.359,0.292,398.6,417.1
