ISO,country,year,sdg_region,unicef_reporting_region,wat_bas_nat,wat_lim_nat,wat_none_nat,san_bas_nat,san_lim_nat,san_none_nat,hyg_bas_nat,hyg_lim_nat,hyg_none_nat
AFG,Afghanistan,2023,Central and Southern Asia,South Asia,65.6577481204611,12.59225187953891,21.75,38.33174472170008,,,7.731675994981403,,
ALB,Albania,2023,Europe and Northern America,Europe and Central Asia,81.91118057350559,,,87.98301510375904,,,87.29693508563042,,
DZA,Algeria,2023,Northern Africa and Western Asia,Middle East and North Africa,91.1248573139599,,,99.5,0.5,0.5,95.46696829428481,,
AND,Andorra,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
AGO,Angola,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,,,,1.165391999999883,,,12.96905
AIA,Anguilla,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
ATG,Antigua and Barbuda,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
ARG,Argentina,2023,Latin America and the Caribbean,Latin America and Caribbean,,,9.715479876160998,83.10526315789457,,,77.56606808588722,,
ARM,Armenia,2023,Northern Africa and Western Asia,Europe and Central Asia,96.58975195606394,0.5,2.861767858308454,88.85208369151303,6.333365666546882,4.814550641940087,97.5225260543441,,
AUS,Australia,2023,Australia and New Zealand,East Asia and Pacific,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
AUT,Austria,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
AZE,Azerbaijan,2023,Northern Africa and Western Asia,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
BHS,Bahamas,2023,Latin America and the Caribbean,Latin America and Caribbean,,,0.5,,,,,,
BHR,Bahrain,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
BGD,Bangladesh,2023,Central and Southern Asia,South Asia,89.65158951773174,1.647079390314047,8.701331091954216,86.59070887622147,13.40929112377853,0.5,92.1599689960949,2.770031003904933,5.070000000000164
BRB,Barbados,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
BLR,Belarus,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
BEL,Belgium,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
BLZ,Belize,2023,Latin America and the Caribbean,Latin America and Caribbean,,,,,,,,,
BEN,Benin,2023,Sub-Saharan Africa,Sub-Saharan Africa,65.85881378584418,,,,,,48.69487551184353,,
BMU,Bermuda,2023,Europe and Northern America,nan,,,,,,,99.5,0.5,0.5
BTN,Bhutan,2023,Central and Southern Asia,South Asia,65.10576406826704,26.44688190417696,8.447354027556003,88.0859507975033,9.389389249399755,2.524659953096943,,,39.74958227549632
BOL,Bolivia (Plurinational State of),2023,Latin America and the Caribbean,Latin America and Caribbean,,,,,,,,,
BIH,Bosnia and Herzegovina,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,78.9,21.09999999999999,0.5,59.9,,
BWA,Botswana,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,0.5,,,0.5,,,
BRA,Brazil,2023,Latin America and the Caribbean,Latin America and Caribbean,,,11.16412700919955,86.11647051257319,10.24027880893061,3.643250678496202,,,3.945149412311338
VGB,British Virgin Islands,2023,Latin America and the Caribbean,Latin America and Caribbean,96.98276500955717,3.01723499044283,0.5,92.0325928161667,7.967407183833302,0.5,96.3900004553874,3.609999544612606,0.5
BRN,Brunei Darussalam,2023,Eastern and South-Eastern Asia,East Asia and Pacific,,,,99.5,0.5,0.5,99.5,0.5,0.5
BFA,Burkina Faso,2023,Sub-Saharan Africa,Sub-Saharan Africa,62.81386616727605,9.38480151291651,27.80133231980744,48.36891414074216,,,49.9534324430042,,
BDI,Burundi,2023,Sub-Saharan Africa,Sub-Saharan Africa,45.82022214930267,15.62881927054904,38.55095858014829,44.75083374067441,,,17.30881214788856,,
CPV,Cabo Verde,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,0.5,92.8040347179341,6.014810692579644,1.181154589486255,86.19772186969367,,
KHM,Cambodia,2023,Eastern and South-Eastern Asia,East Asia and Pacific,85.78868240079544,2.767661877681462,11.4436557215231,37.06960433726158,39.83663016154355,23.09376550119487,84.03720367838469,3.35235808174366,12.61043823987166
CMR,Cameroon,2023,Sub-Saharan Africa,Sub-Saharan Africa,23.71915745762681,32.1543505487025,44.1264919936707,56.14507125959517,18.7667078645236,25.08822087588123,77.85532480295612,,
CYM,Cayman Islands,2023,Latin America and the Caribbean,nan,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
CAF,Central African Republic,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,76.69079099900148,,,,,,
TCD,Chad,2023,Sub-Saharan Africa,Sub-Saharan Africa,30.37800693744066,14.56623882822441,55.05575423433493,19.38,,,9.822861113550971,47.43505534854957,42.74208353789946
CHL,Chile,2023,Latin America and the Caribbean,Latin America and Caribbean,,,,,,,,,
CHN,China,2023,Eastern and South-Eastern Asia,East Asia and Pacific,,,0.5,,,,,,0.5
HKG,"China, Hong Kong SAR",2023,Eastern and South-Eastern Asia,nan,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
MAC,"China, Macao SAR",2023,Eastern and South-Eastern Asia,nan,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
COL,Colombia,2023,Latin America and the Caribbean,Latin America and Caribbean,,,22.9051954887218,84.57959183673574,,,16.92693098481777,,
COM,Comoros,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,,,,,,,
COG,Congo,2023,Sub-Saharan Africa,Sub-Saharan Africa,54.34988,,,,,,,,
COK,Cook Islands,2023,Oceania,East Asia and Pacific,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
CRI,Costa Rica,2023,Latin America and the Caribbean,Latin America and Caribbean,84.1712822789212,7.308381687874572,8.52033603320423,85.06810037909372,11.32533848297322,3.606561137933056,82.96700724869697,0.5,17.03299275130303
HRV,Croatia,2023,Europe and Northern America,Europe and Central Asia,96.36363636363636,0.5,3.63636363636364,99.5,0.5,0.5,98.72727272727273,,
CUB,Cuba,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,95.36290322580645,4.637096774193552,0.5,99.5,0.5,0.5
CZE,Czech Republic,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
CIV,Côte d’Ivoire,2023,Sub-Saharan Africa,Sub-Saharan Africa,52.15841046401813,18.61022179760828,29.23136773837359,,,49.49965055545545,,,43.2677399014101
COD,Democratic Republic of the Congo,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,57.61538451836998,,,12.61509819448793,,,
DNK,Denmark,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
DJI,Djibouti,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,6.093098922031913,,,7.070809032155353,94.949579138,,
DMA,Dominica,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5
DOM,Dominican Republic,2023,Latin America and the Caribbean,Latin America and Caribbean,,,11.25003361346262,76.42128619641608,,,83.0589167725817,,
ECU,Ecuador,2023,Latin America and the Caribbean,Latin America and Caribbean,77.1497959999997,16.12502470301479,6.725179296985516,73.26817438775511,17.86999511224489,8.861830499999996,50.66998,26.33148600000005,22.99853399999995
EGY,Egypt,2023,Northern Africa and Western Asia,Middle East and North Africa,,,,99.5,0.5,0.5,99.5,0.5,0.5
