country,female_married_by_15,female_married_by_18,male_married_by_18,marriage_gap_18,early_marriage_ratio
Afghanistan,10.0,29.0,7.0,22.0,0.3448275862068966
Albania,1.0,12.0,1.0,11.0,0.08333333333333333
Algeria,0.0,4.0,,,0.0
Andorra,,,,,
Angola,8.0,30.0,6.0,24.0,0.26666666666666666
Anguilla,,,,,
Antigua and Barbuda,,,,,
Argentina,2.0,16.0,,,0.125
Armenia,0.0,5.0,0.0,5.0,0.0
Australia,,,,,
Austria,,,,,
Azerbaijan,0.0,15.0,0.4,14.6,0.0
Bahamas,,,,,
Bahrain,,,,,
Bangladesh,17.0,51.0,4.0,47.0,0.3333333333333333
Barbados,8.0,29.0,,,0.27586206896551724
Belarus,0.0,5.0,2.0,3.0,0.0
Belgium,0.0,0.0,,,
Belize,6.0,34.0,22.0,12.0,0.17647058823529413
Benin,6.0,28.0,5.0,23.0,0.21428571428571427
Bhutan,6.0,26.0,,,0.23076923076923078
Bolivia (Plurinational State of),3.0,20.0,5.0,15.0,0.15
Bosnia and Herzegovina,0.0,4.0,0.0,4.0,0.0
Botswana,,,,,
Brazil,6.0,26.0,,,0.23076923076923078
British Virgin Islands,,,,,
Brunei Darussalam,,,,,
Bulgaria,,,,,
Burkina Faso,9.0,51.0,2.0,49.0,0.17647058823529413
Burundi,3.0,19.0,1.0,18.0,0.15789473684210525
Cabo Verde,2.0,8.0,2.0,6.0,0.25
Cambodia,2.0,18.0,3.0,15.0,0.1111111111111111
Cameroon,11.0,30.0,3.0,27.0,0.36666666666666664
Canada,,,,,
Central African Republic,26.0,61.0,17.0,44.0,0.4262295081967213
Chad,24.0,61.0,8.0,53.0,0.39344262295081966
Chile,,,,,
China,0.0,3.0,1.0,2.0,0.0
Colombia,5.0,23.0,7.0,16.0,0.21739130434782608
Comoros,5.0,21.0,7.0,14.0,0.23809523809523808
Congo,7.0,27.0,6.0,21.0,0.25925925925925924
Cook Islands,,,,,
Costa Rica,2.0,17.0,,,0.11764705882352941
Côte d'Ivoire,7.0,26.0,2.0,24.0,0.2692307692307692
Croatia,,,,,
Cuba,5.0,29.0,6.0,23.0,0.1724137931034483
Cyprus,,,,,
Czechia,,,,,
Democratic People's Republic of Korea,0.0,0.0,0.0,0.0,
Democratic Republic of the Congo,8.0,29.0,6.0,23.0,0.27586206896551724
Denmark,,1.0,,,
Djibouti,1.0,7.0,,,0.14285714285714285
Dominica,,,,,
Dominican Republic,9.0,32.0,8.0,24.0,0.28125
Ecuador,4.0,22.0,,,0.18181818181818182
Egypt,2.0,16.0,0.2,15.8,0.125
El Salvador,4.0,20.0,,,0.2
Equatorial Guinea,9.0,30.0,4.0,26.0,0.3
Eritrea,13.0,41.0,2.0,39.0,0.3170731707317073
Estonia,,,,,
Eswatini,0.0,2.0,0.0,2.0,0.0
Ethiopia,14.0,40.0,5.0,35.0,0.35
Fiji,0.0,4.0,2.0,2.0,0.0
Finland,,0.0,,,
France,,,,,
