ISO,country,unicef_region,data_year,wasted_only_pct,wasted_and_stunted_pct,stunted_only_pct,stunted_and_overweight_pct,overweight_only_pct,free_from_malnutrition_pct,any_malnutrition_pct
AFG,Afghanistan,SA,2022.0,2.3,1.3,40.9,2.4,2.1,50.9,49.1
ALB,Albania,EECA,2017.0,1.5,0.1,7.3,4.0,12.4,74.8,25.200000000000003
DZA,Algeria,MENA,2019.0,2.5,0.2,6.8,2.8,9.9,77.7,22.299999999999997
AGO,Angola,ESA,2015.0,2.9,2.0,34.1,1.4,2.0,57.6,42.4
ARG,Argentina,LAC,2018.0,1.6,0.1,7.0,1.6,10.8,78.9,21.099999999999994
ARM,Armenia,EECA,2016.0,4.2,0.2,5.8,3.3,10.4,76.0,24.0
AUS,Australia,EAP,2007.0,0.0,0.0,1.9,0.0,8.0,90.1,9.900000000000006
AZE,Azerbaijan,EECA,2023.0,3.3,0.2,6.0,0.3,3.7,86.5,13.5
BGD,Bangladesh,SA,2022.0,7.4,3.3,19.8,0.5,1.1,68.0,32.0
BRB,Barbados,LAC,2012.0,5.7,1.0,4.9,1.8,10.5,76.1,23.900000000000006
BLR,Belarus,EECA,2005.0,1.9,0.3,3.2,1.0,8.8,84.9,15.099999999999994
BEL,Belgium,WE,2014.0,0.4,0.0,1.2,0.4,3.5,94.5,5.5
BLZ,Belize,LAC,2015.0,1.7,0.1,14.2,0.6,6.7,76.7,23.299999999999997
BEN,Benin,WCA,2021.0,5.5,2.8,29.9,1.4,1.5,58.9,41.1
BTN,Bhutan,SA,2010.0,4.6,1.3,27.7,4.6,3.0,58.9,41.1
BOL,Bolivia (Plurinational State of),LAC,2016.0,1.7,0.3,13.7,2.2,8.0,74.2,25.799999999999997
BIH,Bosnia and Herzegovina,EECA,2012.0,2.3,0.0,4.9,3.9,13.4,75.4,24.599999999999994
BWA,Botswana,ESA,2007.0,6.0,1.4,22.8,4.8,5.1,60.0,40.0
BRA,Brazil,LAC,2019.0,2.5,0.5,5.8,1.3,9.0,81.3,18.700000000000003
BRN,Brunei Darussalam,EAP,2009.0,2.3,0.6,18.4,0.6,7.7,70.4,29.599999999999994
BGR,Bulgaria,EECA,2007.0,4.5,0.2,7.1,1.8,5.0,81.3,18.700000000000003
BFA,Burkina Faso,WCA,2021.0,6.3,3.1,17.3,0.7,0.8,71.8,28.200000000000003
BDI,Burundi,ESA,2020.0,2.1,3.6,46.6,0.7,0.8,46.2,53.8
KHM,Cambodia,EAP,2021.0,7.7,1.9,18.4,1.6,2.5,67.8,32.2
CMR,Cameroon,WCA,2018.0,3.1,1.2,23.3,4.4,6.6,61.4,38.6
CAF,Central African Republic,WCA,2019.0,2.1,3.1,36.6,0.6,0.9,56.7,43.3
TCD,Chad,WCA,2022.0,4.6,3.1,27.8,0.9,1.2,62.2,37.8
CHN,China,EAP,2013.0,1.7,0.1,6.7,1.3,7.9,82.3,17.700000000000003
COL,Colombia,LAC,2016.0,1.5,0.2,11.6,1.0,4.8,81.0,19.0
COM,Comoros,ESA,2022.0,4.2,0.9,16.1,1.2,2.8,74.8,25.200000000000003
COG,Congo,WCA,2014.0,6.8,1.4,17.8,2.0,3.9,68.1,31.900000000000006
CRI,Costa Rica,LAC,2018.0,1.5,0.2,8.4,0.3,7.2,82.3,17.700000000000003
CUB,Cuba,LAC,2019.0,2.0,0.1,6.0,1.0,9.3,81.6,18.400000000000006
CZE,Czechia,WE,2001.0,4.6,0.1,2.3,0.4,4.0,88.7,11.299999999999997
CIV,Côte d'Ivoire,WCA,2021.0,5.9,2.1,20.1,1.2,2.3,68.3,31.700000000000003
PRK,Democratic People's Republic of Korea,EAP,2002.0,5.8,2.9,41.2,0.6,0.3,49.2,50.8
COD,Democratic Republic of the Congo,WCA,2017.0,4.1,2.4,37.5,1.9,1.9,52.2,47.8
DJI,Djibouti,ESA,2023.0,8.1,3.4,20.5,1.6,2.6,63.8,36.2
DOM,Dominican Republic,LAC,2019.0,1.9,0.3,5.6,0.8,6.8,84.6,15.400000000000006
ECU,Ecuador,LAC,2024.0,0.5,0.3,16.8,0.4,4.1,78.0,22.0
EGY,Egypt,MENA,2021.0,3.0,0.3,10.3,2.2,7.9,76.3,23.700000000000003
SLV,El Salvador,LAC,2014.0,1.6,0.6,12.6,0.5,5.9,78.9,21.099999999999994
GNQ,Equatorial Guinea,WCA,2004.0,1.3,1.4,28.6,3.0,5.7,60.0,40.0
ERI,Eritrea,ESA,2010.0,7.9,6.7,44.7,1.1,1.0,38.6,61.4
EST,Estonia,WE,2014.0,1.5,0.0,1.1,0.1,4.9,92.3,7.700000000000003
SWZ,Eswatini,ESA,2021.0,1.4,0.4,18.2,1.4,8.4,70.1,29.900000000000006
ETH,Ethiopia,ESA,2019.0,4.1,2.7,33.1,1.0,1.3,57.8,42.2
FJI,Fiji,EAP,2021.0,4.0,0.6,4.8,1.8,5.9,82.9,17.099999999999994
GAB,Gabon,WCA,2020.0,2.9,0.5,12.7,1.1,3.9,78.8,21.200000000000003
GMB,Gambia,WCA,2020.0,3.6,1.5,15.7,0.3,1.8,77.1,22.900000000000006
GEO,Georgia,EECA,2018.0,0.6,0.0,5.7,0.0,6.0,87.6,12.400000000000006
DEU,Germany,WE,2016.0,0.3,0.0,1.3,0.0,2.9,95.4,4.599999999999994
GHA,Ghana,WCA,2022.0,4.0,1.8,15.3,0.3,1.7,77.0,23.0
GRC,Greece,WE,2003.0,0.6,0.0,1.2,0.3,13.3,84.7,15.299999999999997
GTM,Guatemala,LAC,2015.0,0.3,0.4,44.7,1.6,3.4,49.6,50.4
GIN,Guinea,WCA,2022.0,3.9,2.6,22.1,0.7,2.6,68.1,31.900000000000006
GNB,Guinea-Bissau,WCA,2019.0,4.9,3.0,24.1,1.1,1.1,65.9,34.099999999999994
GUY,Guyana,LAC,2019.0,5.6,0.8,7.5,0.8,5.7,79.6,20.400000000000006
HTI,Haiti,LAC,2023.0,3.3,1.6,19.2,1.1,2.7,71.9,28.099999999999994
HND,Honduras,LAC,2019.0,1.4,0.5,17.8,0.4,4.1,75.8,24.200000000000003
IND,India,SA,2020.0,13.7,5.0,28.4,2.0,1.5,49.4,50.6
IDN,Indonesia,EAP,2023.0,6.1,2.3,18.5,1.2,3.1,68.8,31.200000000000003
IRQ,Iraq,MENA,2018.0,2.8,0.3,10.3,2.0,4.0,80.6,19.400000000000006
IRL,Ireland,WE,2011.0,0.2,0.0,2.2,0.0,10.5,87.0,13.0
JAM,Jamaica,LAC,2018.0,3.2,0.0,4.6,0.0,5.7,86.5,13.5
JOR,Jordan,MENA,2023.0,2.0,0.2,6.2,1.8,7.4,82.4,17.599999999999994
KAZ,Kazakhstan,EECA,2015.0,3.0,0.1,6.0,1.9,7.4,81.5,18.5
KEN,Kenya,ESA,2022.0,3.3,1.2,15.8,0.6,2.8,76.3,23.700000000000003
KIR,Kiribati,EAP,2018.0,2.7,0.8,13.9,0.4,1.7,80.4,19.599999999999994
KWT,Kuwait,MENA,2023.0,3.5,0.0,2.6,0.6,7.5,85.8,14.200000000000003
KGZ,Kyrgyzstan,EECA,2023.0,2.7,0.3,10.2,3.7,5.1,78.0,22.0
LAO,Lao People's Democratic Republic,EAP,2017.0,6.7,2.3,29.0,1.7,1.8,58.4,41.6
LVA,Latvia,WE,2021.0,1.6,0.0,0.5,0.0,6.5,91.4,8.599999999999994
LBN,Lebanon,MENA,2021.0,1.1,0.3,6.6,0.1,4.4,87.4,12.599999999999994
LSO,Lesotho,ESA,2024.0,,0.5,,2.2,,,
LBR,Liberia,WCA,2019.0,2.0,1.4,26.9,1.5,2.9,65.3,34.7
LBY,Libya,MENA,2022.0,3.0,0.3,6.6,1.0,3.6,85.5,14.5
LTU,Lithuania,WE,2021.0,4.3,0.1,0.6,0.1,4.0,91.0,9.0
MDG,Madagascar,ESA,2021.0,4.4,2.9,36.0,1.0,0.9,54.9,45.1
MWI,Malawi,ESA,2020.0,1.1,0.8,33.8,0.3,1.1,62.9,37.1
MYS,Malaysia,EAP,2019.0,7.3,2.4,21.2,1.9,3.3,63.9,36.1
MDV,Maldives,SA,2017.0,7.6,1.5,12.9,0.9,4.0,73.1,26.900000000000006
MLI,Mali,WCA,2022.0,7.6,3.0,18.4,0.4,0.5,70.1,29.900000000000006
MLT,Malta,WE,2022.0,0.3,0.0,3.0,0.2,9.9,86.5,13.5
MHL,Marshall Islands,EAP,2017.0,2.4,1.2,31.9,1.7,2.4,60.5,39.5
MRT,Mauritania,WCA,2021.0,7.9,2.2,14.8,0.4,0.6,74.1,25.900000000000006
MEX,Mexico,LAC,2022.0,0.6,0.4,11.6,0.5,6.6,80.3,19.700000000000003
MNG,Mongolia,EAP,2018.0,0.9,0.1,7.5,1.9,8.7,81.1,18.900000000000006
MNE,Montenegro,EECA,2018.0,1.9,0.2,6.3,0.6,6.7,84.2,15.799999999999997
MAR,Morocco,MENA,2017.0,2.5,0.1,11.5,3.5,7.5,75.0,25.0
MOZ,Mozambique,ESA,2022.0,2.4,1.4,33.8,1.5,1.7,59.2,40.8
MMR,Myanmar,EAP,2016.0,5.1,1.5,27.3,0.6,0.9,64.6,35.400000000000006
NAM,Namibia,ESA,2013.0,5.6,1.5,19.9,1.3,2.7,69.0,31.0
NRU,Nauru,EAP,2020.0,1.3,0.0,14.1,1.7,6.6,76.4,23.599999999999994
NPL,Nepal,SA,2022.0,4.2,2.8,21.8,0.2,1.2,69.9,30.099999999999994
NLD,Netherlands (Kingdom of the),WE,2009.0,1.0,0.0,1.2,0.2,3.6,93.9,6.099999999999994
NIC,Nicaragua,LAC,2012.0,1.7,0.4,15.3,1.5,6.7,74.3,25.700000000000003
NER,Niger,WCA,2022.0,4.5,6.4,40.4,0.9,0.3,47.5,52.5
NGA,Nigeria,WCA,2020.0,3.9,2.6,28.3,0.6,0.9,63.7,36.3
MKD,North Macedonia,EECA,2019.0,3.1,0.2,3.0,1.1,10.1,82.5,17.5
OMN,Oman,MENA,1999.0,6.3,1.5,13.8,0.5,1.1,76.7,23.299999999999997
PAK,Pakistan,SA,2018.0,4.3,2.8,33.7,1.1,1.3,56.8,43.2
PAN,Panama,LAC,2019.0,0.8,0.2,14.4,1.3,10.2,73.1,26.900000000000006
PNG,Papua New Guinea,EAP,2010.0,10.3,3.7,38.4,7.3,6.4,33.8,66.2
PRY,Paraguay,LAC,2016.0,0.9,0.1,5.0,0.6,11.9,81.6,18.400000000000006
PER,Peru,LAC,2023.0,0.4,0.2,11.0,0.4,7.1,81.0,19.0
PHL,Philippines,EAP,2021.0,3.7,1.7,24.3,0.6,3.3,66.3,33.7
POL,Poland,WE,2019.0,0.7,0.1,0.9,0.0,7.7,90.6,9.400000000000006
PRT,Portugal,WE,2016.0,0.6,0.0,3.2,0.1,7.0,89.2,10.799999999999997
QAT,Qatar,MENA,2023.0,1.9,0.2,5.4,0.7,9.3,82.5,17.5
KOR,Republic of Korea,EAP,2020.0,0.0,0.0,0.7,0.1,6.1,93.1,6.900000000000006
MDA,Republic of Moldova,EECA,2012.0,1.7,0.2,5.6,0.6,4.2,87.7,12.299999999999997
ROU,Romania,EECA,2002.0,3.3,0.1,8.9,3.7,4.6,79.2,20.799999999999997
RWA,Rwanda,ESA,2020.0,0.7,0.4,30.9,1.8,3.8,62.4,37.6
LCA,Saint Lucia,LAC,2012.0,3.3,0.4,1.6,0.5,5.8,88.4,11.599999999999994
WSM,Samoa,EAP,2019.0,2.8,0.3,5.7,1.3,7.4,82.5,17.5
STP,Sao Tome and Principe,WCA,2019.0,3.6,0.5,10.0,1.2,3.3,81.4,18.599999999999994
SAU,Saudi Arabia,MENA,2020.0,6.1,0.1,7.0,3.7,7.9,75.2,24.799999999999997
SEN,Senegal,WCA,2023.0,,2.5,,0.2,,,
SRB,Serbia,EECA,2019.0,2.6,0.0,3.5,2.0,9.0,83.0,17.0
SYC,Seychelles,ESA,2012.0,4.1,0.2,5.7,2.0,8.2,79.8,20.200000000000003
SLE,Sierra Leone,WCA,2021.0,4.6,1.7,23.2,1.4,1.4,67.7,32.3
SGP,Singapore,EAP,2000.0,3.3,0.3,3.9,0.3,2.2,90.0,10.0
SLB,Solomon Islands,EAP,2015.0,6.4,2.0,27.2,2.5,2.1,59.8,40.2
SOM,Somalia,ESA,2009.0,10.4,4.0,20.1,1.2,1.7,62.6,37.4
ZAF,South Africa,ESA,2017.0,2.9,0.5,17.8,3.1,8.5,67.2,32.8
SSD,South Sudan,ESA,2010.0,16.8,6.0,21.8,3.5,2.5,49.4,50.6
LKA,Sri Lanka,SA,2022.0,15.9,3.9,9.3,0.4,1.3,69.2,30.799999999999997
PSE,State of Palestine,MENA,2020.0,1.3,0.1,7.2,1.4,7.2,82.8,17.200000000000003
SDN,Sudan,ESA,2014.0,9.8,6.5,29.9,1.9,1.1,50.8,49.2
SUR,Suriname,LAC,2018.0,5.0,0.5,7.5,0.3,3.2,83.4,16.599999999999994
SYR,Syrian Arab Republic,MENA,2010.0,10.4,1.2,15.6,11.1,6.8,54.9,45.1
TJK,Tajikistan,EECA,2017.0,4.7,0.8,15.4,1.3,2.0,75.7,24.299999999999997
THA,Thailand,EAP,2022.0,6.4,0.8,8.9,2.8,8.1,73.0,27.0
TLS,Timor-Leste,EAP,2020.0,4.2,4.0,42.2,0.4,0.9,48.2,51.8
TGO,Togo,WCA,2017.0,3.9,1.8,21.5,0.5,1.0,71.3,28.700000000000003
TON,Tonga,EAP,2019.0,1.0,0.0,1.6,0.6,10.6,86.2,13.799999999999997
TTO,Trinidad and Tobago,LAC,2011.0,5.8,0.6,5.2,3.4,7.9,77.1,22.900000000000006
TUN,Tunisia,MENA,2018.0,2.0,0.1,5.0,3.3,13.9,75.7,24.299999999999997
TKM,Turkmenistan,EECA,2019.0,4.1,0.0,6.3,0.8,2.3,86.5,13.5
TCA,Turks and Caicos Islands,LAC,2020.0,1.2,0.0,0.9,3.7,14.5,79.8,20.200000000000003
TUV,Tuvalu,EAP,2019.0,2.5,0.2,4.4,1.0,3.2,88.6,11.400000000000006
TUR,Türkiye,EECA,2018.0,1.6,0.1,5.3,0.6,7.5,84.9,15.099999999999994
UGA,Uganda,ESA,2020.0,3.1,0.5,24.2,0.7,2.3,69.3,30.700000000000003
UKR,Ukraine,EECA,2000.0,8.0,0.2,10.3,12.3,14.2,55.0,45.0
GBR,United Kingdom,WE,2018.0,0.3,0.0,1.9,0.1,6.4,91.3,8.700000000000003
TZA,United Republic of Tanzania,ESA,2022.0,2.2,1.0,27.9,1.2,2.5,65.4,34.599999999999994
URY,Uruguay,LAC,2018.0,1.3,0.1,6.1,0.7,10.6,81.1,18.900000000000006
UZB,Uzbekistan,EECA,2021.0,2.4,0.0,5.7,0.8,3.7,87.4,12.599999999999994
VUT,Vanuatu,EAP,2013.0,3.6,1.1,25.9,1.8,3.1,64.4,35.599999999999994
VNM,Viet Nam,EAP,2010.0,3.2,1.0,21.0,0.7,3.8,70.4,29.599999999999994
YEM,Yemen,MENA,2022.0,8.5,8.4,39.4,0.8,0.7,42.3,57.7
ZMB,Zambia,ESA,2018.0,3.2,1.0,31.1,2.5,2.7,59.4,40.6
ZWE,Zimbabwe,ESA,2019.0,1.8,1.1,21.9,0.5,2.0,72.7,27.299999999999997
