ISO,country,unicef_region,income_group,data_year,overweight_national,overweight_national_ll,overweight_national_ul,overweight_male,overweight_female,overweight_urban,overweight_rural,overweight_Q1_poorest,overweight_Q2,overweight_Q3,overweight_Q4,overweight_Q5_richest,overweight_gender_gap,overweight_wealth_gap,overweight_urban_rural_gap
AFG,Afghanistan,SA,Low Income,2022.0,4.5,4.2,4.9,4.7,4.3,4.7,4.4,,,,,,0.40000000000000036,,-0.2999999999999998
ALB,Albania,EECA,Upper Middle Income,2017.0,16.4,14.5,18.5,17.4,15.4,15.6,17.4,14.7,16.8,16.5,17.2,17.4,1.9999999999999982,-2.6999999999999993,1.799999999999999
DZA,Algeria,MENA,Upper Middle Income,2019.0,12.8,11.9,13.7,13.4,12.1,12.4,13.2,12.4,11.9,12.9,13.3,13.8,1.3000000000000007,-1.4000000000000004,0.7999999999999989
AGO,Angola,ESA,Lower Middle Income,2015.0,3.4,2.8,4.0,3.1,3.6,4.0,2.6,2.5,2.6,3.7,4.2,4.5,-0.5,-2.0,-1.4
ARG,Argentina,LAC,Upper Middle Income,2018.0,12.4,10.9,14.0,12.0,12.8,,,9.9,11.4,17.8,13.5,11.7,-0.8000000000000007,-1.799999999999999,
ARM,Armenia,EECA,Upper Middle Income,2016.0,13.7,11.5,16.2,14.6,12.7,11.5,16.5,16.8,16.3,15.1,12.5,8.5,1.9000000000000004,8.3,5.0
AUS,Australia,EAP,High Income,2017.0,22.0,,,,,,,,,,,,,,
AZE,Azerbaijan,EECA,Upper Middle Income,2023.0,4.0,3.1,5.1,4.4,3.6,4.1,3.9,4.4,3.6,5.4,4.4,1.9,0.8000000000000003,2.5000000000000004,-0.19999999999999973
BHR,Bahrain,MENA,High Income,1989.0,7.5,,,,,,,,,,,,,,
BGD,Bangladesh,SA,Lower Middle Income,2022.0,1.6,1.2,2.1,1.4,1.8,1.5,1.6,0.6,1.3,1.4,2.0,2.7,-0.40000000000000013,-2.1,0.10000000000000009
BRB,Barbados,LAC,High Income,2012.0,12.2,9.1,16.2,11.3,13.3,11.4,13.7,11.1,6.7,12.8,16.9,13.0,-2.0,-1.9000000000000004,2.299999999999999
BLR,Belarus,EECA,Upper Middle Income,2023.0,3.0,,,,,,,,,,,,,,
BEL,Belgium,WE,High Income,2023.0,5.4,,,7.7,3.5,,,,,,,,4.2,,
BLZ,Belize,LAC,Upper Middle Income,2015.0,7.3,6.0,8.9,8.0,6.5,10.6,5.3,3.8,6.8,8.4,11.0,7.8,1.5,-4.0,-5.3
BEN,Benin,WCA,Lower Middle Income,2021.0,2.9,2.5,3.3,2.9,2.9,2.9,2.9,3.1,3.1,2.8,2.2,3.2,0.0,-0.10000000000000009,0.0
BTN,Bhutan,SA,Lower Middle Income,2010.0,7.6,6.5,8.8,7.5,7.6,10.0,6.6,6.2,7.1,8.4,6.3,10.2,-0.09999999999999964,-3.999999999999999,-3.4000000000000004
BOL,Bolivia (Plurinational State of),LAC,Lower Middle Income,2016.0,10.1,9.1,11.3,11.1,9.2,10.9,8.7,,,,,,1.9000000000000004,,-2.200000000000001
BIH,Bosnia and Herzegovina,EECA,Upper Middle Income,2012.0,17.4,15.0,20.0,16.7,18.0,21.1,15.6,13.6,15.4,15.7,20.7,20.7,-1.3000000000000007,-7.1,-5.500000000000002
BWA,Botswana,ESA,Upper Middle Income,2007.0,10.0,8.6,11.4,9.6,10.3,12.5,7.3,6.6,9.3,9.4,11.7,15.4,-0.7000000000000011,-8.8,-5.2
BRA,Brazil,LAC,Upper Middle Income,2019.0,9.6,8.7,10.6,10.0,9.2,,,8.3,8.8,10.1,10.7,10.3,0.8000000000000007,-2.0,
BRN,Brunei Darussalam,EAP,High Income,2009.0,8.3,6.8,10.1,8.8,7.8,,,,,,,,1.0000000000000009,,
BGR,Bulgaria,EECA,High Income,2014.0,6.9,,,9.6,4.1,,,,,,,,5.5,,
