ISO,country,unicef_region,income_group,data_year,stunting_national,stunting_national_ll,stunting_national_ul,stunting_male,stunting_female,stunting_urban,stunting_rural,stunting_Q1_poorest,stunting_Q2,stunting_Q3,stunting_Q4,stunting_Q5_richest,stunting_gender_gap,stunting_wealth_gap,stunting_urban_rural_gap
AFG,Afghanistan,SA,Low Income,2022.0,44.6,43.6,45.6,45.7,43.5,33.3,47.8,,,,,,2.200000000000003,,14.5
ALB,Albania,EECA,Upper Middle Income,2017.0,11.3,9.7,13.1,11.6,11.0,10.5,12.2,17.1,10.5,7.3,11.3,9.2,0.5999999999999996,7.900000000000002,1.6999999999999993
DZA,Algeria,MENA,Upper Middle Income,2019.0,9.8,9.0,10.7,11.6,7.9,9.5,10.2,13.5,8.9,8.2,8.8,8.7,3.6999999999999993,4.800000000000001,0.6999999999999993
AGO,Angola,ESA,Lower Middle Income,2015.0,37.6,35.7,39.5,41.0,34.1,31.8,45.7,47.4,45.1,38.7,26.6,20.4,6.899999999999999,27.0,13.900000000000002
ARG,Argentina,LAC,Upper Middle Income,2018.0,8.7,7.4,10.1,9.7,7.6,,,12.4,8.4,8.3,6.0,4.6,2.0999999999999996,7.800000000000001,
ARM,Armenia,EECA,Upper Middle Income,2016.0,9.4,7.8,11.3,10.9,7.8,6.2,13.4,12.0,11.5,11.5,6.2,5.9,3.1000000000000005,6.1,7.2
AUS,Australia,EAP,High Income,2007.0,1.9,1.1,3.1,2.0,1.8,,,,,,,,0.19999999999999996,,
AZE,Azerbaijan,EECA,Upper Middle Income,2023.0,6.6,5.3,8.0,6.9,6.2,6.8,6.3,8.7,6.5,5.2,6.0,6.5,0.7000000000000002,2.1999999999999993,-0.5
BHR,Bahrain,MENA,High Income,1995.0,13.6,,,,,,,,,,,,,,
BGD,Bangladesh,SA,Lower Middle Income,2022.0,23.6,22.0,25.2,23.8,23.3,22.0,24.1,34.3,27.2,22.0,17.8,15.2,0.5,19.099999999999998,2.1000000000000014
BRB,Barbados,LAC,High Income,2012.0,7.7,5.3,11.0,8.9,6.4,8.0,7.2,7.5,8.6,7.9,10.1,3.1,2.5,4.4,-0.7999999999999998
BLR,Belarus,EECA,Upper Middle Income,2023.0,1.2,,,,,,,,,,,,,,
BEL,Belgium,WE,High Income,2023.0,1.9,,,1.4,2.4,,,,,,,,-1.0,,
BLZ,Belize,LAC,Upper Middle Income,2015.0,15.0,12.9,17.3,16.2,13.7,10.6,17.6,26.1,14.5,12.5,10.4,5.4,2.5,20.700000000000003,7.000000000000002
BEN,Benin,WCA,Lower Middle Income,2021.0,34.1,32.8,35.4,37.0,31.0,28.3,38.0,44.8,38.4,35.0,29.1,20.8,6.0,23.999999999999996,9.7
BTN,Bhutan,SA,Lower Middle Income,2023.0,17.9,,,18.5,17.2,,,,,,,,1.3000000000000007,,
BOL,Bolivia (Plurinational State of),LAC,Lower Middle Income,2016.0,16.1,14.9,17.3,16.1,16.1,12.2,24.0,,,,,,0.0,,11.8
