ISO,country,unicef_region,income_group,data_year,wasting_national,wasting_national_ll,wasting_national_ul,wasting_male,wasting_female,wasting_urban,wasting_rural,wasting_Q1_poorest,wasting_Q2,wasting_Q3,wasting_Q4,wasting_Q5_richest,wasting_gender_gap,wasting_wealth_gap,wasting_urban_rural_gap
AFG,Afghanistan,SA,Low Income,2022.0,3.6,3.3,3.9,3.7,3.5,2.9,3.8,,,,,,0.20000000000000018,,0.8999999999999999
ALB,Albania,EECA,Upper Middle Income,2017.0,1.6,1.1,2.2,1.2,2.0,1.3,1.9,2.6,1.6,1.3,1.7,0.2,-0.8,2.4,0.5999999999999999
DZA,Algeria,MENA,Upper Middle Income,2019.0,2.7,2.3,3.1,3.0,2.4,2.9,2.4,2.9,2.5,2.9,2.2,3.1,0.6000000000000001,-0.20000000000000018,-0.5
AGO,Angola,ESA,Lower Middle Income,2015.0,4.9,4.3,5.6,5.6,4.3,4.6,5.4,5.7,5.6,4.9,4.0,3.5,1.2999999999999998,2.2,0.8000000000000007
ARG,Argentina,LAC,Upper Middle Income,2018.0,1.7,1.2,2.5,2.2,1.3,,,1.7,1.5,1.1,1.9,2.8,0.9000000000000001,-1.0999999999999999,
ARM,Armenia,EECA,Upper Middle Income,2016.0,4.4,3.4,5.8,4.0,5.0,3.3,5.9,6.1,6.0,4.6,2.3,3.0,-1.0,3.0999999999999996,2.6000000000000005
AUS,Australia,EAP,High Income,2007.0,0.2,,,,,,,,,,,,,,
AZE,Azerbaijan,EECA,Upper Middle Income,2023.0,3.5,2.0,6.1,1.9,5.2,5.1,1.8,1.0,2.6,3.8,3.1,7.6,-3.3000000000000003,-6.6,-3.3
BHR,Bahrain,MENA,High Income,1995.0,6.6,,,,,,,,,,,,,,
BGD,Bangladesh,SA,Lower Middle Income,2022.0,10.7,9.7,11.8,10.3,11.1,10.7,10.7,12.7,11.4,10.2,9.3,9.8,-0.7999999999999989,2.8999999999999986,0.0
BRB,Barbados,LAC,High Income,2012.0,6.8,4.5,10.0,8.3,5.0,8.1,4.4,10.0,6.0,4.9,6.2,6.9,3.3000000000000007,3.0999999999999996,-3.6999999999999993
BLR,Belarus,EECA,Upper Middle Income,2023.0,1.3,,,,,,,,,,,,,,
BEL,Belgium,WE,High Income,2023.0,0.8,,,,,,,,,,,,,,
BLZ,Belize,LAC,Upper Middle Income,2015.0,1.8,1.2,2.6,2.1,1.4,2.8,1.1,0.7,1.5,2.0,3.1,2.1,0.7000000000000002,-1.4000000000000001,-1.6999999999999997
BEN,Benin,WCA,Lower Middle Income,2021.0,8.3,7.5,9.1,9.0,7.5,7.7,8.7,9.2,8.0,8.7,8.6,6.6,1.5,2.5999999999999996,0.9999999999999991
BTN,Bhutan,SA,Lower Middle Income,2023.0,5.1,,,4.9,5.4,,,,,,,,-0.5,,
