ISO,country,oos_primary_f,oos_upsec_f,completion_primary_f,literacy_f,completion_primary_gap,oos_upsec_gap
AFG,Afghanistan,,69.3785,40.2,32.11322,-27.0,23.30605
ALB,Albania,3.54685,17.90967,92.50047398099804,99.02019,1.0531962221782862,0.9326599999999985
DZA,Algeria,1.56548,,94.3,,1.0,
AND,Andorra,,,,,,
AGO,Angola,,,48.7,70.58513,-4.699999999999996,
AIA,Anguilla,,,,,,
ATG,Antigua and Barbuda,17.37595,22.24838,,,,0.8156800000000004
ARG,Argentina,1.23071,4.53001,97.2,99.62893,2.1000000000000085,-8.852160000000001
ARM,Armenia,7.65189,,99.12933111190796,99.87619,-0.870668888092041,
AUS,Australia,2.835,0.39444,,,,-1.78796
AUT,Austria,,7.21447,,,,-0.22590999999999983
AZE,Azerbaijan,5.02217,,,99.91648,,
BHS,Bahamas,8.2824,10.30017,,,,-4.703940000000001
BHR,Bahrain,1.27283,5.2634,,94.9168,,-1.6900000000000004
BGD,Bangladesh,1.71894,38.17939,78.8,94.37776,10.200000000000003,1.1757500000000007
BRB,Barbados,9.48555,,99.2,99.9,0.5,
BLR,Belarus,4.17454,0.14606,99.5,,-0.5,-1.49634
BEL,Belgium,1.37674,1.27903,,,,-0.006380000000000052
BLZ,Belize,1.10702,33.87199,86.3,,7.8999999999999915,-4.023150000000001
BEN,Benin,,65.85443,44.1964694843862,40.93838,-6.8195143465207195,20.020129999999995
BTN,Bhutan,17.41901,26.91393,70.8,84.48774,4.299999999999997,-7.3638600000000025
BOL,Bolivia (Plurinational State of),8.02437,18.19615,,99.40421,,1.2532899999999998
BIH,Bosnia and Herzegovina,,,99.9,99.66747,0.7000000000000028,
BWA,Botswana,10.0938,,,99.4,,
BRA,Brazil,1.90702,15.69928,97.2,99.3467,3.1000000000000085,-2.9268400000000003
VGB,British Virgin Islands,,,,,,
BRN,Brunei Darussalam,3.78184,16.38018,,99.54606,,-3.811540000000001
BGR,Bulgaria,7.03937,12.36526,,97.65106,,4.019039999999999
BFA,Burkina Faso,23.92632,67.6528,29.4,43.98583,-2.400000000000002,1.0457499999999982
BDI,Burundi,1.73171,57.49594,54.1,74.95891,8.100000000000001,-2.734650000000002
CPV,Cabo Verde,14.49037,32.03883,,98.73018,,-4.827210000000001
KHM,Cambodia,9.65321,,78.8,92.57328,10.599999999999994,
CMR,Cameroon,9.05306,57.20897,63.9,76.42093,-2.8000000000000043,8.82074
CAN,Canada,,8.23594,,,,0.216429999999999
CAF,Central African Republic,39.82737,89.79351,33.1,26.97133,-20.699999999999996,11.28895
TCD,Chad,34.39988,87.75322,23.8,22.38715,-6.800000000000001,16.487809999999996
CHL,Chile,5.06774,6.49658,,99.44056,,-0.71861
CHN,China,,,97.0,99.59304,-0.09999999999999432,
COL,Colombia,5.90496,14.81339,94.7,99.02527,3.299999999999997,-2.1080799999999993
COM,Comoros,16.40568,54.82458,76.8,69.59522,1.7000000000000028,-2.6085800000000035
COG,Congo,9.1456,,81.66994420273112,76.94608,3.334779909006386,
COK,Cook Islands,4.51516,30.0,,,,-7.209299999999999
CRI,Costa Rica,3.16485,9.25538,94.8,99.25812,1.2999999999999972,-4.35004
CIV,Côte d'Ivoire,15.08671,69.05303,53.1,47.03975,-6.600000000000001,12.388960000000004
HRV,Croatia,0.57314,11.66963,,99.73572,,-4.761519999999999
CUB,Cuba,3.04172,14.82585,99.7,99.8952,0.4000000000000057,-8.447079999999998
CYP,Cyprus,1.84089,5.06627,,99.83831,,-0.8191799999999994
CZE,Czechia,,1.62762,,,,-0.21704999999999997
PRK,Democratic People's Republic of Korea,,11.07315,100.0,,0.0,-0.3307599999999997
COD,Democratic Republic of the Congo,,,66.4,79.71484,-5.0,
DNK,Denmark,0.62651,11.02108,,,,-2.740120000000001
DJI,Djibouti,46.24225,71.88063,,,,6.33005
DMA,Dominica,1.05417,10.48889,,,,0.5238599999999991
DOM,Dominican Republic,5.52979,23.06926,94.4,98.86737,6.5,-2.438089999999999
ECU,Ecuador,1.0074,16.10604,,99.13692,,0.53932
EGY,Egypt,0.83096,25.31363,91.6,86.81055,1.0999999999999943,2.863810000000001
SLV,El Salvador,18.22823,35.38044,88.6,98.14964,4.299999999999997,1.5931899999999999
GNQ,Equatorial Guinea,55.32296,,,98.7,,
ERI,Eritrea,64.03557,71.44885,,,,5.193699999999993
EST,Estonia,5.67227,3.06301,,99.95904,,-1.7711000000000001
SWZ,Eswatini,24.78219,29.57662,67.5,94.74849,15.700000000000003,4.480569999999997
ETH,Ethiopia,17.16269,75.14659,51.0,,0.0,2.553759999999997
FJI,Fiji,1.61025,22.52198,,,,-7.23171
FIN,Finland,0.77113,4.03983,,,,-0.5655599999999996
FRA,France,0.6022,5.07852,,,,-1.2162600000000001
GAB,Gabon,,,66.9,89.42925,9.800000000000004,
GMB,Gambia,16.58748,,57.3,56.12098,1.0,
GEO,Georgia,2.40786,4.63298,,99.72914,,-3.3130100000000002
DEU,Germany,,,,,,
GHA,Ghana,15.11771,31.1573,67.8,83.23453,4.0,-0.08551999999999893
GRC,Greece,7.10629,10.85319,,98.90698,,1.2029199999999989
GRD,Grenada,2.63241,10.78652,,99.5,,-6.539680000000001
GTM,Guatemala,11.55852,60.62377,76.9,93.26925,-6.099999999999994,4.5789899999999975
GIN,Guinea,28.70171,75.37248,49.06192949093671,37.21018,-8.64883678236091,16.608239999999995
GNB,Guinea-Bissau,,,25.9,49.75632,-7.0,
GUY,Guyana,3.29801,25.03363,98.6,97.03701,2.8999999999999915,-9.069019999999998
HTI,Haiti,,,58.39659646154769,,9.649008234884008,
VAT,Holy See,,,,,,
HND,Honduras,15.51183,48.15662,85.0,97.24561,4.299999999999997,-5.850300000000004
HUN,Hungary,3.01108,12.42124,,99.0,,0.31208999999999953
ISL,Iceland,0.54963,13.72958,,,,-4.601169999999998
IND,India,1.55137,48.60744,91.347,81.84981,-0.19900000000001228,1.6002299999999963
IDN,Indonesia,9.89713,12.77919,92.18017610613218,99.65351,1.327030017854426,-4.20523
IRN,Iran (Islamic Republic of),,22.73296,,97.92513,,-4.050410000000003
IRQ,Iraq,,,73.2,48.63865,-4.700000000000003,
IRL,Ireland,0.04207,0.15643,,,,-2.10191
ISR,Israel,2.19451,0.21395,,,,-4.25694
ITA,Italy,1.53865,4.55793,,99.8687,,-0.06869999999999976
JAM,Jamaica,,19.36783,99.6,98.8,0.5999999999999943,-4.869129999999998
JPN,Japan,1.56388,1.92924,,,,-2.0701199999999997
JOR,Jordan,,46.07643,96.93236363724668,99.20273,0.8889728939766712,-6.877220000000001
KAZ,Kazakhstan,0.06455,0.47984,99.9,99.85091,0.10000000000000853,-2.6101300000000003
KEN,Kenya,15.05817,,81.6,86.13652,5.0,
KIR,Kiribati,,,,,,
KWT,Kuwait,6.90047,16.40917,,99.50355,,-3.9645599999999988
KGZ,Kyrgyzstan,1.71944,26.36492,99.4,,0.30000000000001137,-3.560929999999999
