ISO,country,oos_preprimary_m,oos_preprimary_f,oos_primary_m,oos_primary_f,completion_primary_m,completion_primary_f,literacy_m,literacy_f
AFG,Afghanistan,,,,,67.2,40.2,61.87907,32.11322
ALB,Albania,10.07799,10.98696,2.38042,3.54685,91.44727775881975,92.50047398099804,99.37598,99.02019
DZA,Algeria,,,0.0,1.56548,93.3,94.3,,
AND,Andorra,,,,,,,,
AGO,Angola,30.29402,38.39555,,,53.4,48.7,84.86238,70.58513
AIA,Anguilla,,,,,,,,
ATG,Antigua and Barbuda,13.93035,11.8239,17.6781,17.37595,,,,
ARG,Argentina,1.14159,3.00588,0.10543,1.23071,95.1,97.2,99.38448,99.62893
ARM,Armenia,,,7.55906,7.65189,100.0,99.12933111190796,99.81842,99.87619
AUS,Australia,12.31113,12.92421,3.5534,2.835,,,,
AUT,Austria,1.90147,0.14658,,,,,,
AZE,Azerbaijan,38.79859,38.60456,6.74003,5.02217,,,99.96238,99.91648
BHS,Bahamas,64.50733,60.0286,14.83216,8.2824,,,,
BHR,Bahrain,22.51701,23.83224,1.00661,1.27283,,,93.55395,94.9168
BGD,Bangladesh,,,7.8519,1.71894,68.6,78.8,91.54129,94.37776
BRB,Barbados,8.16777,12.4,9.65644,9.48555,98.7,99.2,99.92,99.9
BLR,Belarus,1.47764,4.2623,3.8099,4.17454,100.0,99.5,,
BEL,Belgium,0.31381,0.19945,1.30055,1.37674,,,,
BLZ,Belize,16.04497,16.18619,0.35917,1.10702,78.4,86.3,,
BEN,Benin,12.32751,11.72659,,,51.01598383090692,44.1964694843862,63.94092,40.93838
BTN,Bhutan,,,18.66811,17.41901,66.5,70.8,90.39581,84.48774
BOL,Bolivia (Plurinational State of),7.66533,8.69505,6.99194,8.02437,,,99.39402,99.40421
BIH,Bosnia and Herzegovina,,,,,99.2,99.9,99.65765,99.66747
BWA,Botswana,67.12855,65.1865,10.85667,10.0938,,,95.94,99.4
BRA,Brazil,4.26291,0.69037,3.63982,1.90702,94.1,97.2,98.59586,99.3467
VGB,British Virgin Islands,,,,,,,,
BRN,Brunei Darussalam,4.67626,5.22317,3.39963,3.78184,,,99.19989,99.54606
BGR,Bulgaria,4.9451,4.25374,6.65356,7.03937,,,98.06693,97.65106
BFA,Burkina Faso,83.33311,83.44352,22.09581,23.92632,31.8,29.4,56.99489,43.98583
BDI,Burundi,57.7853,57.58788,3.63983,1.73171,46.0,54.1,85.29008,74.95891
CPV,Cabo Verde,20.50866,19.97788,12.88615,14.49037,,,97.58501,98.73018
KHM,Cambodia,57.54409,56.41542,9.23345,9.65321,68.2,78.8,91.86412,92.57328
CMR,Cameroon,53.75358,54.19039,0.6118,9.05306,66.7,63.9,85.39748,76.42093
CAN,Canada,,,,,,,,
CAF,Central African Republic,,,23.35834,39.82737,53.8,33.1,48.8571,26.97133
TCD,Chad,89.37968,90.26363,16.68969,34.39988,30.6,23.8,40.69289,22.38715
CHL,Chile,2.70877,3.01904,5.29945,5.06774,,,99.26754,99.44056
CHN,China,,,,,97.1,97.0,99.68962,99.59304
COL,Colombia,13.29484,11.82474,6.70455,5.90496,91.4,94.7,98.31204,99.02527
COM,Comoros,59.50318,61.69998,15.24516,16.40568,75.1,76.8,73.81077,69.59522
COG,Congo,79.48862,77.21671,16.37951,9.1456,78.33516429372473,81.66994420273112,85.68361,76.94608
COK,Cook Islands,1.70304,0.0,1.70068,4.51516,,,,
CRI,Costa Rica,10.15246,11.45114,3.25296,3.16485,93.5,94.8,99.00768,99.25812
CIV,Côte d'Ivoire,78.20334,77.88699,6.90518,15.08671,59.7,53.1,59.12435,47.03975
HRV,Croatia,2.30857,7.06398,4.03298,0.57314,,,99.71204,99.73572
CUB,Cuba,0.48365,0.12831,2.89016,3.04172,99.3,99.7,99.85527,99.8952
CYP,Cyprus,5.23046,5.59252,2.48508,1.84089,,,99.80454,99.83831
CZE,Czechia,8.0338,8.3668,,,,,,
PRK,Democratic People's Republic of Korea,,,,,100.0,100.0,,
COD,Democratic Republic of the Congo,,,,,71.4,66.4,90.96097,79.71484
DNK,Denmark,2.8558,1.60341,1.31432,0.62651,,,,
DJI,Djibouti,90.76522,90.90629,38.77184,46.24225,,,,
DMA,Dominica,28.94737,29.52183,2.51814,1.05417,,,,
DOM,Dominican Republic,13.45723,11.7215,5.78634,5.52979,87.9,94.4,98.81259,98.86737
ECU,Ecuador,4.34275,3.50183,3.14044,1.0074,,,98.9792,99.13692
EGY,Egypt,61.76094,62.12327,1.96398,0.83096,90.5,91.6,89.48338,86.81055
SLV,El Salvador,18.86655,18.45584,19.15326,18.22823,84.3,88.6,97.7997,98.14964
GNQ,Equatorial Guinea,57.00027,55.22357,56.25593,55.32296,,,97.72,98.7
ERI,Eritrea,82.42703,83.0049,60.60136,64.03557,,,,
EST,Estonia,10.17531,7.28079,6.92045,5.67227,,,99.93924,99.95904
SWZ,Eswatini,,,23.51309,24.78219,51.8,67.5,92.18742,94.74849
ETH,Ethiopia,60.71645,63.31086,10.86284,17.16269,51.0,51.0,,
FJI,Fiji,,,2.30792,1.61025,,,,
FIN,Finland,1.59722,1.23408,0.97744,0.77113,,,,
FRA,France,0.52632,0.0324,1.16633,0.6022,,,,
GAB,Gabon,,,,,57.1,66.9,87.38959,89.42925
GMB,Gambia,,,24.59754,16.58748,56.3,57.3,65.97576,56.12098
GEO,Georgia,,,1.58154,2.40786,,,99.67772,99.72914
DEU,Germany,,,,,,,,
GHA,Ghana,12.97445,8.26874,16.63394,15.11771,63.8,67.8,88.31075,83.23453
GRC,Greece,12.38867,10.53255,7.08203,7.10629,,,98.72913,98.90698
GRD,Grenada,14.27165,16.95967,3.65762,2.63241,,,98.95,99.5
GTM,Guatemala,19.03172,18.54647,12.01757,11.55852,83.0,76.9,95.48186,93.26925
GIN,Guinea,57.03323,60.67456,13.69062,28.70171,57.71076627329762,49.06192949093671,56.97051,37.21018
GNB,Guinea-Bissau,,,,,32.9,25.9,71.25033,49.75632
GUY,Guyana,10.39888,6.06264,5.39689,3.29801,95.7,98.6,96.33186,97.03701
HTI,Haiti,,,,,48.74758822666368,58.39659646154769,,
VAT,Holy See,,,,,,,,
HND,Honduras,18.86975,18.0163,17.03718,15.51183,80.7,85.0,94.94519,97.24561
HUN,Hungary,7.73073,9.33936,3.25947,3.01108,,,98.69,99.0
ISL,Iceland,2.37505,2.33892,0.41726,0.54963,,,,
IND,India,,,2.91273,1.55137,91.546,91.347,90.04483,81.84981
IDN,Indonesia,6.30979,2.65919,4.75269,9.89713,90.85314608827775,92.18017610613218,99.68345,99.65351
IRN,Iran (Islamic Republic of),50.50502,51.62581,,,,,98.26797,97.92513
IRQ,Iraq,,,,,77.9,73.2,57.00647,48.63865
IRL,Ireland,2.48378,1.63379,0.01815,0.04207,,,,
ISR,Israel,1.77131,0.27008,3.13278,2.19451,,,,
