ISO,country,year,sdg_region,unicef_reporting_region,wat_bas_nat,wat_lim_nat,wat_none_nat,san_bas_nat,san_lim_nat,san_none_nat,hyg_bas_nat,hyg_lim_nat,hyg_none_nat,all_basic_missing
AFG,Afghanistan,2023,Central and Southern Asia,South Asia,65.66,12.59,21.75,38.33,,,7.73,,,False
ALB,Albania,2023,Europe and Northern America,Europe and Central Asia,81.91,,,87.98,,,87.3,,,False
DZA,Algeria,2023,Northern Africa and Western Asia,Middle East and North Africa,91.12,,,99.5,0.5,0.5,95.47,,,False
AND,Andorra,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
AGO,Angola,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,,,,1.17,,,12.97,True
AIA,Anguilla,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
ATG,Antigua and Barbuda,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
ARG,Argentina,2023,Latin America and the Caribbean,Latin America and Caribbean,,,9.72,83.11,,,77.57,,,False
ARM,Armenia,2023,Northern Africa and Western Asia,Europe and Central Asia,96.59,0.5,2.86,88.85,6.33,4.81,97.52,,,False
AUS,Australia,2023,Australia and New Zealand,East Asia and Pacific,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
AUT,Austria,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
AZE,Azerbaijan,2023,Northern Africa and Western Asia,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
BHS,Bahamas,2023,Latin America and the Caribbean,Latin America and Caribbean,,,0.5,,,,,,,True
BHR,Bahrain,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
BGD,Bangladesh,2023,Central and Southern Asia,South Asia,89.65,1.65,8.7,86.59,13.41,0.5,92.16,2.77,5.07,False
BRB,Barbados,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
BLR,Belarus,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
BEL,Belgium,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
BLZ,Belize,2023,Latin America and the Caribbean,Latin America and Caribbean,,,,,,,,,,True
BEN,Benin,2023,Sub-Saharan Africa,Sub-Saharan Africa,65.86,,,,,,48.69,,,False
BMU,Bermuda,2023,Europe and Northern America,North America,,,,,,,99.5,0.5,0.5,False
