ISO,country,wat_bas_nat,san_bas_nat,hyg_bas_nat,unicef_reporting_region
AFG,Afghanistan,65.66,38.33,7.73,South Asia
ALB,Albania,81.91,87.98,87.3,Europe and Central Asia
DZA,Algeria,91.12,99.5,95.47,Middle East and North Africa
AND,Andorra,99.5,99.5,99.5,Europe and Central Asia
AGO,Angola,,,,Sub-Saharan Africa
AIA,Anguilla,99.5,99.5,99.5,Latin America and Caribbean
ATG,Antigua and Barbuda,99.5,99.5,99.5,Latin America and Caribbean
ARG,Argentina,,83.11,77.57,Latin America and Caribbean
ARM,Armenia,96.59,88.85,97.52,Europe and Central Asia
AUS,Australia,99.5,99.5,99.5,East Asia and Pacific
AUT,Austria,99.5,99.5,99.5,Europe and Central Asia
AZE,Azerbaijan,99.5,99.5,99.5,Europe and Central Asia
BHS,Bahamas,,,,Latin America and Caribbean
BHR,Bahrain,99.5,99.5,99.5,Middle East and North Africa
BGD,Bangladesh,89.65,86.59,92.16,South Asia
BRB,Barbados,99.5,99.5,99.5,Latin America and Caribbean
BLR,Belarus,99.5,99.5,99.5,Europe and Central Asia
BEL,Belgium,99.5,99.5,99.5,Europe and Central Asia
BLZ,Belize,,,,Latin America and Caribbean
BEN,Benin,65.86,,48.69,Sub-Saharan Africa
BMU,Bermuda,,,99.5,North America
BTN,Bhutan,65.11,88.09,,South Asia
BOL,Bolivia (Plurinational State of),,,,Latin America and Caribbean
BIH,Bosnia and Herzegovina,99.5,78.9,59.9,Europe and Central Asia
BWA,Botswana,,,,Sub-Saharan Africa
BRA,Brazil,,86.12,,Latin America and Caribbean
VGB,British Virgin Islands,96.98,92.03,96.39,Latin America and Caribbean
BRN,Brunei Darussalam,,99.5,99.5,East Asia and Pacific
BFA,Burkina Faso,62.81,48.37,49.95,Sub-Saharan Africa
BDI,Burundi,45.82,44.75,17.31,Sub-Saharan Africa
CPV,Cabo Verde,,92.8,86.2,Sub-Saharan Africa
KHM,Cambodia,85.79,37.07,84.04,East Asia and Pacific
CMR,Cameroon,23.72,56.15,77.86,Sub-Saharan Africa
CYM,Cayman Islands,99.5,99.5,99.5,Latin America and Caribbean
CAF,Central African Republic,,,,Sub-Saharan Africa
TCD,Chad,30.38,19.38,9.82,Sub-Saharan Africa
CHL,Chile,,,,Latin America and Caribbean
CHN,China,,,,East Asia and Pacific
HKG,"China, Hong Kong SAR",99.5,99.5,99.5,East Asia and Pacific
MAC,"China, Macao SAR",99.5,99.5,99.5,East Asia and Pacific
COL,Colombia,,84.58,16.93,Latin America and Caribbean
COM,Comoros,,,,Sub-Saharan Africa
COG,Congo,54.35,,,Sub-Saharan Africa
COK,Cook Islands,99.5,99.5,99.5,East Asia and Pacific
CRI,Costa Rica,84.17,85.07,82.97,Latin America and Caribbean
HRV,Croatia,96.36,99.5,98.73,Europe and Central Asia
CUB,Cuba,99.5,95.36,99.5,Latin America and Caribbean
